province,2018,2019,2020,2021,2022,2023,2024
????(??),65789,66384,66949,68285,68653,69541,70650
??,34,29,31,37.8,45.4,47.8,57.6
??,210,223,228,249.9,256.2,255.7,270.6
??,3701,3739,3796,3825.1,3865.1,3809.9,3908.8
??,1380,1362,1424,1421.2,1464.3,1478.1,1468.7
???,3553,3653,3664,3840.3,3900.6,3957.8,4100.5
??,2192,2430,2339,2538.7,2484.5,2563.4,2500.3
??,3633,3878,3803,4039.2,4080.8,4186.5,4266
???,7507,7503,7541,7867.7,7763.1,7788.2,8001.7
??,104,96,91,94,95.6,101.9,98.3
??,3660,3706,3729,3746.1,3769.1,3797.7,3810.1
??,599,592,606,620.9,621,638.8,650.2
??,4007,4054,4019,4087.6,4100.1,4150.8,4184.3
??,499,494,502,506.4,508.7,511,514.4
??,2191,2157,2164,2192.3,2151.9,2198.3,2196
??,5320,5357,5447,5500.7,5543.8,5655.3,5710.2
??,6649,6695,6826,6544.2,6789.4,6624.3,6719.4
??,2839,2725,2727,2764.3,2741.1,2777,2785.3
??,3023,2975,3015,3074.4,3018,3068,3078.1
??,1193,1241,1268,1279.9,1291.5,1285.2,1313.4
??,1373,1332,1370,1386.5,1393.1,1395.4,1403.8
??,147,145,145,146,146.6,147,142.4
??,1079,1075,1081,1092.8,1072.8,1095.9,1100.7
??,3494,3498,3527,3582.1,3510.5,3593.8,3633.8
??,1060,1051,1058,1094.9,1114.6,1119.7,1146.1
??,1861,1870,1896,1930.3,1958,1974,1993.5
??,104,105,103,106.5,107.3,108.9,112.9
??,1226,1231,1275,1270.4,1297.9,1323.7,1352.3
??,1151,1163,1202,1231.5,1265,1272.9,1296.1
??,103,106,107,109.1,107.3,116.2,118.3
??,393,373,380,368.4,375.8,378.8,385.9
??,1504,1527,1583,1735.8,1813.5,2119.2,2330.2
