province,year,avg_precipitation
上海,2018,1534.1
上海,2019,1572.6
上海,2020,1648.5
上海,2021,1436.5
上海,2022,1009.2
上海,2023,1228.3
上海,2024,1356.0
云南,2018,1577.1875
云南,2019,1245.7548
云南,2020,1042.1245
云南,2021,1085.0053
云南,2022,1077.3584
云南,2023,926.7247
云南,2024,983.6724
内蒙古,2018,1721.3593
内蒙古,2019,1626.7044
内蒙古,2020,470.4107
内蒙古,2021,638.3198
内蒙古,2022,470.0996
内蒙古,2023,324.1606
内蒙古,2024,660.9043
北京,2018,644.6
北京,2019,461.2
北京,2020,529.0
北京,2021,699.6999999999999
北京,2022,584.0
北京,2023,625.2
北京,2024,859.6
吉林,2018,2202.6133
吉林,2019,1074.2386
吉林,2020,678.355
吉林,2021,717.8683
吉林,2022,801.085
吉林,2023,615.44
吉林,2024,742.945
四川,2018,1515.1673
四川,2019,1417.4326
四川,2020,1201.2252
四川,2021,1182.4523
四川,2022,907.0786
四川,2023,913.943
四川,2024,898.7832
天津,2018,749.3
天津,2019,560.5
天津,2020,775.6999999999999
天津,2021,965.6
天津,2022,621.1
天津,2023,718.2
天津,2024,678.1
宁夏,2018,490.6
宁夏,2019,354.1
宁夏,2020,200.4
宁夏,2021,189.35
宁夏,2022,287.65
宁夏,2023,156.25
宁夏,2024,366.3
安徽,2018,2164.8822
安徽,2019,1232.8352
安徽,2020,1573.805
安徽,2021,1241.9950000000001
安徽,2022,939.82
安徽,2023,1031.9533
安徽,2024,1132.185
山东,2018,1167.4305
山东,2019,905.1889
山东,2020,766.804
山东,2021,949.5084
山东,2022,920.6979
山东,2023,563.7003
山东,2024,802.9288
山西,2018,729.0049
山西,2019,717.9897
山西,2020,608.7833
山西,2021,619.4449999999999
山西,2022,508.91
山西,2023,455.05
山西,2024,475.36
广东,2018,2494.5288
广东,2019,2701.6749
广东,2020,1675.783
广东,2021,1307.0324
广东,2022,2163.0297
广东,2023,1850.4664
广东,2024,2227.6871
广西,2018,2090.7368
广西,2019,2283.1961
广西,2020,1519.8411
广西,2021,1384.1703
广西,2022,1590.4661
广西,2023,1331.2921
广西,2024,1870.8337
新疆,2018,1766.8464
新疆,2019,1712.4148
新疆,2020,953.9091999999999
新疆,2021,513.8223
新疆,2022,485.3395
新疆,2023,191.3598
新疆,2024,210.1869
江苏,2018,1932.2334
江苏,2019,1066.7004
江苏,2020,1138.525
江苏,2021,1305.15
江苏,2022,928.75
江苏,2023,979.9333
江苏,2024,1440.6499
江西,2018,2284.685
江西,2019,2211.9583
江西,2020,1991.545
江西,2021,1629.96
江西,2022,1494.54
江西,2023,1551.24
江西,2024,1667.6717
河北,2018,863.595
河北,2019,756.5517
河北,2020,582.02
河北,2021,891.5867
河北,2022,434.4417
河北,2023,462.18
河北,2024,688.58
河南,2018,1245.0969
河南,2019,921.3285
河南,2020,858.73
河南,2021,1114.7267
河南,2022,738.695
河南,2023,1091.9
河南,2024,790.0367
浙江,2018,2052.4117
浙江,2019,2144.2067
浙江,2020,1441.88
浙江,2021,1893.66
浙江,2022,1482.92
浙江,2023,1140.84
浙江,2024,1550.22
海南,2018,2032.0997
海南,2019,2158.8165
海南,2020,1504.31
海南,2021,1355.8284
海南,2022,1797.715
海南,2023,1325.46
海南,2024,2147.705
湖北,2018,1381.2836
湖北,2019,1027.208
湖北,2020,1622.017
湖北,2021,1122.5088
湖北,2022,977.25
湖北,2023,1150.525
湖北,2024,1088.325
湖南,2018,2102.3798
湖南,2019,1785.64
湖南,2020,1613.95
湖南,2021,1452.16
湖南,2022,1182.405
湖南,2023,999.72
湖南,2024,1473.215
甘肃,2018,1770.4306
甘肃,2019,1545.7941
甘肃,2020,440.2194
甘肃,2021,300.8465
甘肃,2022,283.4315
甘肃,2023,243.3765
甘肃,2024,396.0718
福建,2018,1876.8169
福建,2019,1782.5252
福建,2020,1233.35
福建,2021,1257.0083
福建,2022,1480.975
福建,2023,1594.825
福建,2024,1476.9917
西藏,2018,999.8668
西藏,2019,893.378
西藏,2020,568.2497
西藏,2021,588.8019
西藏,2022,460.281
西藏,2023,411.9994
西藏,2024,412.0231
贵州,2018,1469.9673
贵州,2019,1438.6675
贵州,2020,1280.5009
贵州,2021,1231.0334
贵州,2022,1003.9504
贵州,2023,793.6667
贵州,2024,1216.8004
辽宁,2018,1125.1788
辽宁,2019,999.3322
辽宁,2020,747.9929
辽宁,2021,902.3576
辽宁,2022,901.4035
辽宁,2023,624.8144
辽宁,2024,947.2214
陕西,2018,1156.6997
陕西,2019,1076.0749
陕西,2020,625.7425
陕西,2021,880.1834
陕西,2022,666.8
陕西,2023,563.9082999999999
陕西,2024,556.9916
青海,2018,2307.2619
青海,2019,1989.4949
青海,2020,589.4963
青海,2021,423.95
青海,2022,474.33389999999997
青海,2023,311.3897
青海,2024,366.4368
黑龙江,2018,2603.6654
黑龙江,2019,1517.1375
黑龙江,2020,998.7018
黑龙江,2021,777.185
黑龙江,2022,747.8128
黑龙江,2023,925.2201
黑龙江,2024,930.283
